zoneID,zoneArea,SidewalkCount,percentSidewalkArea,Paved ParkingCount,percentPaved ParkingArea,Paved DrivewayCount,percentPaved DrivewayArea,PavementCount,percentPavementArea,PatioCount,percentPatioArea,In Ground PoolCount,percentIn Ground PoolArea,TankCount,percentTankArea,Unpaved DrivewayCount,percentUnpaved DrivewayArea,Uncovered DeckCount,percentUncovered DeckArea,Compacted SoilCount,percentCompacted SoilArea,BridgeCount,percentBridgeArea,DockCount,percentDockArea,Above Ground PoolCount,percentAbove Ground PoolArea,Recreation Court/Ball FieldCount,percentRecreation Court/Ball FieldArea,Golf CourseCount,percentGolf CourseArea,Unpaved Athletic FieldCount,percentUnpaved Athletic FieldArea,Covered DeckCount,percentCovered DeckArea,Unpaved ParkingCount,percentUnpaved ParkingArea,CourtyardCount,percentCourtyardArea,Open SpaceCount,percentOpen SpaceArea,Paved DitchCount,percentPaved DitchArea,Paved RoadCount,percentPaved RoadArea,StructureCount,percentStructureArea,Open StorageCount,percentOpen StorageArea,Median > 10 FeetCount,percentMedian > 10 FeetArea,MiscellaneousCount,percentMiscellaneousArea,Paved AlleyCount,percentPaved AlleyArea,TrailCount,percentTrailArea,Unpaved RoadCount,percentUnpaved RoadArea,Gravel/SandpitCount,percentGravel/SandpitArea,DamCount,percentDamArea,Unpaved AlleyCount,percentUnpaved AlleyArea,zoneType
118735,108205.531728315,6,0.05596706631603097,2,0.3364096824679672,0,0.0,1,0.0014417541091309724,0,0.0,0,0.0,0,0.0,0,0.0,7,0.004376922717677172,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,27.802857027435707,6,0.28183237273459943,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Residential
118737,21391.5221254757,6,0.04410539859977444,2,0.23952652083125464,0,0.0,4,0.016462661606515702,1,0.0091489987880256,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.14431211495340707,0,0.0,0,0.0,0,0.0,0,0.0,2,0.26548516027462016,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Residential
118738,80695.9124990057,5,0.02670392010284972,3,0.6375995158445474,0,0.0,0,0.0,1,0.03512226334927338,0,0.0,0,0.0,0,0.0,1,0.0057372860119241425,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.012047800686459541,0,0.0,0,0.0,6,0.22400122794599697,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Residential
118739,301325.928116456,17,0.10362499900085677,2,0.5554789536242999,0,0.0,2,0.0007521561832289682,13,0.010723978716996195,0,0.0,0,0.0,0,0.0,8,0.004576809365926861,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,35,0.3533870647495225,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Residential
118740,191781.22170854398,18,0.08849282426509808,6,0.22262607037140328,0,0.0,1,0.002033562861502124,2,0.016991233244682304,1,0.008061290288105014,0,0.0,0,0.0,1,0.0012886534865002883,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2628905794365052,7,0.01892811088416525,0,0.0,0,0.0,1,4.248386073941158,11,0.46040345458945586,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Residential
118741,134120.08376357402,4,0.10259849661484666,3,0.39206641022305566,0,0.0,2,0.001643244052758762,6,0.007452568787251736,0,0.0,0,0.0,0,0.0,8,0.008567581959056924,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.047411354224988975,0,0.0,0,0.0,0,0.0,1,6.074859548896902,9,0.2044861146101417,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Residential
118742,8090.58815996658,1,0.04419817359748999,1,21.803152847756454,1,0.21378965358275567,0,0.0,0,0.0,0,0.0,0,0.0,1,0.06461635911549841,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2737045646393583,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Residential
118747,452885.855479417,37,0.04048471140833257,6,0.7787752948182536,0,0.0,4,0.002624692128531323,8,0.012321975774872977,3,0.007263738313305546,0,0.0,0,0.0,46,0.02296974227421591,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,61,0.40036323823374664,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Residential
118748,47697.173600112306,3,0.06212402698832081,0,0.0,1,0.020799456553074754,0,0.0,5,0.014075390412618058,0,0.0,0,0.0,1,0.022675395382284316,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,0.14252447633467308,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Residential
118749,17064.637224299,0,0.0,2,0.6575284925496521,3,0.1867545947863486,0,0.0,3,0.10600413570024246,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.5663576853680824,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Residential
