zoneID,zoneArea,Paved DrivewayCount,percentPaved DrivewayArea,SidewalkCount,percentSidewalkArea,Paved ParkingCount,percentPaved ParkingArea,PatioCount,percentPatioArea,Uncovered DeckCount,percentUncovered DeckArea,In Ground PoolCount,percentIn Ground PoolArea,PavementCount,percentPavementArea,Open StorageCount,percentOpen StorageArea,Paved AlleyCount,percentPaved AlleyArea,CourtyardCount,percentCourtyardArea,Unpaved DrivewayCount,percentUnpaved DrivewayArea,Unpaved ParkingCount,percentUnpaved ParkingArea,Covered DeckCount,percentCovered DeckArea,Compacted SoilCount,percentCompacted SoilArea,StructureCount,percentStructureArea,Recreation Court/Ball FieldCount,percentRecreation Court/Ball FieldArea,Paved RoadCount,percentPaved RoadArea,Unpaved Athletic FieldCount,percentUnpaved Athletic FieldArea,Open SpaceCount,percentOpen SpaceArea,Paved DitchCount,percentPaved DitchArea,TankCount,percentTankArea,Above Ground PoolCount,percentAbove Ground PoolArea,Unpaved RoadCount,percentUnpaved RoadArea,BridgeCount,percentBridgeArea,TrailCount,percentTrailArea,MiscellaneousCount,percentMiscellaneousArea,Median > 10 FeetCount,percentMedian > 10 FeetArea,DockCount,percentDockArea,Gravel/SandpitCount,percentGravel/SandpitArea,Unpaved AlleyCount,percentUnpaved AlleyArea,DamCount,percentDamArea,Golf CourseCount,percentGolf CourseArea,zoneType
118747,452885.8555,0,0,37,0,6,0,8,0,46,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Residential
118748,47697.1736,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Residential
118749,17064.63722,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Residential
118750,93817.50587000001,0,0,7,0,3,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Residential
118753,53666.0213,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Residential
118756,40435.61785,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Residential
118763,59692.195770000006,0,0,6,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Residential
118823,44946.57239,0,0,5,0,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Commercial
118827,46673.35993,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Commercial
118842,90148.99281,2,0,5,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Commercial
